sport,market,game_id,matchup,line_source,side_a,side_b,line_a,line_b,odds_a,odds_b,timestamp
mlb,totals,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,DraftKings,Over,Under,6.5,6.5,106,-138,2026-05-06T23:34:18Z
mlb,h2h,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,Bovada,Athletics,Philadelphia Phillies,,,-145,110,2026-05-06T23:33:41Z
mlb,spreads,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,Bovada,Athletics,Philadelphia Phillies,-1.0,1.0,105,-135,2026-05-06T23:33:41Z
mlb,totals,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,Bovada,Over,Under,6.0,6.0,-120,-110,2026-05-06T23:33:41Z
mlb,h2h,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,BetRivers,Athletics,Philadelphia Phillies,,,-148,105,2026-05-06T23:34:17Z
mlb,spreads,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,BetRivers,Athletics,Philadelphia Phillies,-1.0,1.0,102,-141,2026-05-06T23:34:17Z
mlb,totals,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,BetRivers,Over,Under,6.0,6.0,-122,-115,2026-05-06T23:34:17Z
mlb,h2h,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,BetMGM,Athletics,Philadelphia Phillies,,,-120,-105,2026-05-06T23:33:05Z
mlb,spreads,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,BetMGM,Athletics,Philadelphia Phillies,-1.5,1.5,160,-210,2026-05-06T23:33:05Z
mlb,totals,8379550b6a949466b56d6ddffad2b2fe,Athletics at Philadelphia Phillies,BetMGM,Over,Under,6.5,6.5,100,-130,2026-05-06T23:33:05Z
mlb,h2h,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,FanDuel,Baltimore Orioles,Miami Marlins,,,-186,144,2026-05-06T23:34:18Z
mlb,spreads,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,FanDuel,Baltimore Orioles,Miami Marlins,-1.5,1.5,116,-154,2026-05-06T23:34:18Z
mlb,totals,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,FanDuel,Over,Under,12.5,12.5,102,-136,2026-05-06T23:34:18Z
mlb,h2h,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,MyBookie.ag,Baltimore Orioles,Miami Marlins,,,115,-154,2026-05-06T23:33:05Z
mlb,spreads,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,MyBookie.ag,Baltimore Orioles,Miami Marlins,1.5,-1.5,-250,170,2026-05-06T23:33:05Z
mlb,totals,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,MyBookie.ag,Over,Under,11.0,11.0,-118,-118,2026-05-06T23:33:05Z
mlb,h2h,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,DraftKings,Baltimore Orioles,Miami Marlins,,,-175,133,2026-05-06T23:34:18Z
mlb,spreads,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,DraftKings,Baltimore Orioles,Miami Marlins,-1.5,1.5,111,-144,2026-05-06T23:34:18Z
mlb,totals,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,DraftKings,Over,Under,12.5,12.5,-102,-127,2026-05-06T23:34:18Z
mlb,h2h,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,Bovada,Baltimore Orioles,Miami Marlins,,,-185,140,2026-05-06T23:33:41Z
mlb,spreads,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,Bovada,Baltimore Orioles,Miami Marlins,-1.0,1.0,-130,100,2026-05-06T23:33:41Z
